cement_type_1,w_b_ratio,fly_ash,silica_fume,metakaolin,nano_silica,mineral_powder,water,concrete_sand,superplasticizer,material_class,test_age_days,measurement_confidence,compressive_strength_mpa,mix_density_kg_m3,original_basis,total_binder_kg_m3,elastic_modulus_gpa,splitting_tensile_mpa,steel_fiber,fiber_length_mm,fiber_diameter_mm,flexural_strength_mpa,slag
38.57738168915295,0.1636,0.0,10.356067170029295,0.0,0.0,8.458142509386477,8.004290960102324,33.99760696455832,0.60651070677064,UHPC,3.0,measured,122.0,2423.7,kg_m3,1186.0,,,,,,,
38.57738168915295,0.1636,0.0,10.356067170029295,0.0,0.0,8.458142509386477,8.004290960102324,33.99760696455832,0.60651070677064,UHPC,7.0,measured,160.0,2423.7,kg_m3,1186.0,,,,,,,
38.57738168915295,0.1636,0.0,10.356067170029295,0.0,0.0,8.458142509386477,8.004290960102324,33.99760696455832,0.60651070677064,UHPC,14.0,measured,182.0,2423.7,kg_m3,1186.0,,,,,,,
38.57738168915295,0.1636,0.0,10.356067170029295,0.0,0.0,8.458142509386477,8.004290960102324,33.99760696455832,0.60651070677064,UHPC,28.0,measured,198.9,2423.7,kg_m3,1186.0,53.145,11.7,,,,,
23.14642901349177,0.1636,15.43095267566118,10.356067170029295,0.0,0.0,8.458142509386477,8.004290960102324,33.99760696455832,0.60651070677064,UHPC,3.0,measured,81.0,2423.7,kg_m3,1186.0,,,,,,,
23.14642901349177,0.1636,15.43095267566118,10.356067170029295,0.0,0.0,8.458142509386477,8.004290960102324,33.99760696455832,0.60651070677064,UHPC,7.0,measured,106.0,2423.7,kg_m3,1186.0,,,,,,,
23.14642901349177,0.1636,15.43095267566118,10.356067170029295,0.0,0.0,8.458142509386477,8.004290960102324,33.99760696455832,0.60651070677064,UHPC,14.0,measured,138.0,2423.7,kg_m3,1186.0,,,,,,,
23.14642901349177,0.1636,15.43095267566118,10.356067170029295,0.0,0.0,8.458142509386477,8.004290960102324,33.99760696455832,0.60651070677064,UHPC,28.0,measured,152.6,2423.7,kg_m3,1186.0,44.001,8.6,,,,,
36.66156871313087,0.1404,4.544461437622897,4.544461437622897,0.0,0.0,0.0,6.423421455101595,40.1573082805331,2.468866069477824,UHPC,7.0,measured,115.0,2288.5,kg_m3,1047.0,,,5.199912606510814,13.0,0.2,,
36.66156871313087,0.1404,4.544461437622897,4.544461437622897,0.0,0.0,0.0,6.423421455101595,40.1573082805331,2.468866069477824,UHPC,28.0,measured,135.0,2288.5,kg_m3,1047.0,,,5.199912606510814,13.0,0.2,18.65,
36.43390654854959,0.1404,0.0,4.51624109779399,4.51624109779399,0.0,0.0,6.383533090151119,40.03821434775056,2.9442417926003124,UHPC,7.0,measured,107.0,2302.8,kg_m3,1047.0,,,5.167622025360431,13.0,0.2,,
36.43390654854959,0.1404,0.0,4.51624109779399,4.51624109779399,0.0,0.0,6.383533090151119,40.03821434775056,2.9442417926003124,UHPC,28.0,measured,130.5,2302.8,kg_m3,1047.0,,,5.167622025360431,13.0,0.2,18.85,
33.38068181818182,0.1023,0.0,10.014204545454545,0.0,0.0,0.0,4.438920454545454,41.903409090909086,1.953125,UHPC,7.0,measured,183.0,2816.0,kg_m3,1222.0,,,8.309659090909092,6.0,0.15,,
33.38068181818182,0.1023,0.0,10.014204545454545,0.0,0.0,0.0,4.438920454545454,41.903409090909086,1.953125,UHPC,28.0,measured,200.0,2816.0,kg_m3,1222.0,,,8.309659090909092,6.0,0.15,,
33.38068181818182,0.1023,0.0,10.014204545454545,0.0,0.0,0.0,4.438920454545454,41.903409090909086,1.953125,UHPC,90.0,measured,219.0,2816.0,kg_m3,1222.0,,,8.309659090909092,6.0,0.15,,
20.33898305084746,0.1023,0.0,10.16949152542373,0.0,0.0,0.0,4.507753335737468,41.00252434186801,1.983411467724486,UHPC,7.0,measured,162.0,2773.0,kg_m3,1222.0,,,8.43851424450054,6.0,0.15,,13.559322033898304
20.33898305084746,0.1023,0.0,10.16949152542373,0.0,0.0,0.0,4.507753335737468,41.00252434186801,1.983411467724486,UHPC,28.0,measured,200.0,2773.0,kg_m3,1222.0,,,8.43851424450054,6.0,0.15,,13.559322033898304
20.33898305084746,0.1023,0.0,10.16949152542373,0.0,0.0,0.0,4.507753335737468,41.00252434186801,1.983411467724486,UHPC,90.0,measured,225.0,2773.0,kg_m3,1222.0,,,8.43851424450054,6.0,0.15,,13.559322033898304
26.602564102564102,0.1459,3.3253205128205128,8.213141025641026,0.0,0.0,0.0,6.049679487179487,41.706730769230774,1.4022435897435899,UHPC,28.0,measured,281.0,2496.0,kg_m3,1035.0,,,9.375,6.0,0.15,,3.3253205128205128
