column,sql_type,section,unit,quantity_kind,si_mm_unit,si_mm_factor,fe_relevant,notes
sorptivity_secondary_mm_sqrt_s,real,DURABILITY PROPERTIES,mm/s^0.5,sorptivity,mm/s^0.5,1,,
oxygen_permeability_m2,real,DURABILITY PROPERTIES,m2,intrinsic_permeability,mm2,1e6,,
scaling_resistance_kg_m2,real,DURABILITY PROPERTIES,kg/m2,areal_mass,tonne/mm2,1e-9,,
corrosion_rate_ua_cm2,real,DURABILITY PROPERTIES,uA/cm2,current_density,,,,no FE analogue
half_cell_potential_mv,real,DURABILITY PROPERTIES,mV,electric_potential,,,,no FE analogue
heat_of_hydration_kj_kg,real,DURABILITY PROPERTIES,kJ/kg,specific_energy,mJ/tonne,1e9,yes,
thermal_conductivity_w_mk,real,THERMAL & ENVIRONMENTAL,W/(m*K),thermal_conductivity,mW/(mm*K),1,yes,
specific_heat_j_kg_k,real,THERMAL & ENVIRONMENTAL,J/(kg*K),specific_heat,mJ/(tonne*K),1e6,yes,
coeff_thermal_expansion_ue_c,real,THERMAL & ENVIRONMENTAL,microstrain/C,thermal_expansion,1/C,1e-6,yes,
fire_resistance_min,real,THERMAL & ENVIRONMENTAL,min,time,s,60,,"rating, not a material property"
embodied_carbon_kg_co2_m3,real,THERMAL & ENVIRONMENTAL,kg CO2e/m3,gwp_intensity,tonne/mm3,1e-12,,
embodied_energy_mj_m3,real,THERMAL & ENVIRONMENTAL,MJ/m3,energy_density,mJ/mm3,1,,
degree_of_hydration,real,MICROSTRUCTURE,1,fraction,1,1,,0-1
calcium_hydroxide_pct,real,MICROSTRUCTURE,%,fraction,1 (fraction),1e-2,,
pore_size_distribution_nm,real,MICROSTRUCTURE,nm,length,mm,1e-6,,critical pore diameter (MIP)
compressive_strength_stddev_mpa,real,MICROSTRUCTURE,MPa,stress,MPa,1,yes,
flexural_strength_stddev_mpa,real,MICROSTRUCTURE,MPa,stress,MPa,1,yes,
tensile_strength_stddev_mpa,real,MICROSTRUCTURE,MPa,stress,MPa,1,yes,
elastic_modulus_stddev_gpa,real,MICROSTRUCTURE,GPa,stress,MPa,1e3,yes,
interlayer_bond_stddev_mpa,real,MICROSTRUCTURE,MPa,stress,MPa,1,yes,
raw_data_doi,varchar,MICROSTRUCTURE,-,categorical,,,,
stress_strain_file,varchar,MICROSTRUCTURE,-,categorical,,,,
rheology_curve_file,varchar,MICROSTRUCTURE,-,categorical,,,,
microstructure_image,varchar,MICROSTRUCTURE,-,categorical,,,,
raw_data_file,varchar,MICROSTRUCTURE,-,categorical,,,,
sieve_analysis_file,varchar,MICROSTRUCTURE,-,categorical,,,,
raw_data_sha256,varchar,MICROSTRUCTURE,-,categorical,,,,
raw_data_version,varchar,MICROSTRUCTURE,-,categorical,,,,
doi,varchar,DATA PROVENANCE,-,categorical,,,,
source_citation,varchar,DATA PROVENANCE,-,categorical,,,,
measurement_confidence,varchar,DATA PROVENANCE,-,categorical,,,,
lab_name,varchar,DATA PROVENANCE,-,categorical,,,,
provenance_notes,text,DATA PROVENANCE,-,categorical,,,,
is_training_ready,boolean,DATA QUALITY FLAGS,-,flag,,,,
is_synthetic,boolean,DATA QUALITY FLAGS,-,flag,,,,
outlier_flag,boolean,DATA QUALITY FLAGS,-,flag,,,,
exposure_class_freeze,varchar,EXPOSURE CLASSIFICATION (EN 206 / ACI 318),-,categorical,,,,
exposure_class_sulfate,varchar,EXPOSURE CLASSIFICATION (EN 206 / ACI 318),-,categorical,,,,
exposure_class_chloride,varchar,EXPOSURE CLASSIFICATION (EN 206 / ACI 318),-,categorical,,,,
exposure_class_water,varchar,EXPOSURE CLASSIFICATION (EN 206 / ACI 318),-,categorical,,,,
exposure_class_asr,varchar,EXPOSURE CLASSIFICATION (EN 206 / ACI 318),-,categorical,,,,
