sample_id,source_name,included,reason,source_strength,source_strength_unit
17240,EXP_FLEX_01_a_spec_100,False,unrecognized_strength_unit,6.1410915687615715,
17241,EXP_FLEX_01_a_spec_101,True,included,6.348091786101992,N/mm²
17242,EXP_FLEX_01_a_spec_102,False,unrecognized_strength_unit,5.954566068609895,
17243,EXP_FLEX_01_a_spec_103,False,unrecognized_strength_unit,5.756060403288443,
17244,EXP_FLEX_01_a_spec_104,True,included,1.845117229256076,N/mm²
17245,EXP_FLEX_01_a_spec_105,True,included,2.1346491790118916,N/mm²
17246,EXP_FLEX_01_a_spec_106,True,included,2.145731878373525,N/mm²
17247,EXP_FLEX_01_a_spec_107,False,unrecognized_strength_unit,1.2841174051454811,
17248,EXP_FLEX_01_a_spec_108,False,unrecognized_strength_unit,1.5095472607327858,
17249,EXP_FLEX_01_a_spec_109,True,included,2.211458709955824,N/mm²
17250,EXP_FLEX_01_a_spec_110,True,included,1.3377261488135332,N/mm²
17251,EXP_FLEX_01_a_spec_111,True,included,4.84504991438117,N/mm²
17252,EXP_FLEX_01_a_spec_112,False,unrecognized_strength_unit,5.215395393930901,
17253,EXP_FLEX_01_a_spec_113,False,unrecognized_strength_unit,4.637286709930597,
17254,EXP_FLEX_01_a_spec_114,True,included,3.9822154943510237,N/mm²
17255,EXP_FLEX_01_a_spec_115,True,included,4.123332167551117,N/mm²
17256,EXP_FLEX_01_a_spec_116,True,included,4.899538643434691,N/mm²
17257,EXP_FLEX_01_a_spec_117,False,unrecognized_strength_unit,5.064992740543835,
17258,EXP_FLEX_01_a_spec_118,False,unrecognized_strength_unit,4.843104760265709,
17259,EXP_FLEX_01_a_spec_119,True,included,6.0829573655488955,N/mm²
17260,EXP_FLEX_01_a_spec_120,True,included,5.873231052296462,N/mm²
17261,EXP_FLEX_01_a_spec_121,True,included,5.193620282844809,N/mm²
17262,EXP_FLEX_01_a_spec_122,False,unrecognized_strength_unit,5.492241299173148,
17263,EXP_FLEX_01_a_spec_123,False,unrecognized_strength_unit,5.946804277829518,
17264,EXP_FLEX_01_a_spec_124,False,unrecognized_strength_unit,4.737599625090778,
17265,EXP_FLEX_01_a_spec_125,True,included,5.92756035645647,N/mm²
17266,EXP_FLEX_01_a_spec_126,True,included,5.389452312308428,N/mm²
17267,EXP_FLEX_01_a_spec_127,True,included,5.877455126568532,N/mm²
17268,EXP_FLEX_01_a_spec_128,False,unrecognized_strength_unit,6.161144787882961,
17269,EXP_FLEX_01_a_spec_129,False,unrecognized_strength_unit,6.390121699484021,
17270,EXP_FLEX_01_a_spec_130,False,unrecognized_strength_unit,5.967995551835871,
17271,EXP_FLEX_01_a_spec_131,False,unrecognized_strength_unit,5.71437467183885,
17272,EXP_FLEX_01_a_spec_132,True,included,7.110237727937978,N/mm²
17273,EXP_FLEX_01_a_spec_133,True,included,7.093243585620624,N/mm²
17274,EXP_FLEX_01_a_spec_134,True,included,6.541529992701763,N/mm²
17275,EXP_FLEX_01_a_spec_135,False,unrecognized_strength_unit,7.026275008861112,
17276,EXP_FLEX_01_a_spec_136,False,unrecognized_strength_unit,7.567105361596011,
17277,EXP_FLEX_01_a_spec_137,True,included,6.113597492968261,N/mm²
17278,EXP_FLEX_01_a_spec_138,True,included,4.461036280356609,N/mm²
17279,EXP_FLEX_01_a_spec_139,True,included,4.630251621436254,N/mm²
17280,EXP_FLEX_01_a_spec_140,False,unrecognized_strength_unit,4.603479966232263,
17281,EXP_FLEX_01_a_spec_141,False,unrecognized_strength_unit,4.831371851851851,
17282,EXP_FLEX_01_a_spec_142,True,included,5.569931389578163,N/mm²
17283,EXP_FLEX_01_a_spec_143,False,unrecognized_strength_unit,5.227433272727273,
17284,EXP_FLEX_01_a_spec_144,False,unrecognized_strength_unit,6.022786037735849,
17285,EXP_FLEX_01_a_spec_145,True,included,8.440650498426518,N/mm²
17286,EXP_FLEX_01_a_spec_146,True,included,7.004923618040449,N/mm²
17287,EXP_FLEX_01_a_spec_147,True,included,7.5656359807742195,N/mm²
17288,EXP_FLEX_01_a_spec_148,False,unrecognized_strength_unit,8.615121017333083,
17289,EXP_FLEX_01_a_spec_149,False,unrecognized_strength_unit,8.407340034350057,
17290,EXP_FLEX_01_a_spec_150,False,unrecognized_strength_unit,9.182838149962484,
17291,EXP_FLEX_01_a_spec_151,True,included,4.899573243099922,N/mm²
17292,EXP_FLEX_01_a_spec_152,True,included,5.925864400053528,N/mm²
17293,EXP_FLEX_01_a_spec_153,True,included,6.391055334389013,N/mm²
17294,EXP_FLEX_01_a_spec_154,False,unrecognized_strength_unit,6.590161451147305,
17295,EXP_FLEX_01_a_spec_155,False,unrecognized_strength_unit,6.225829145728643,
17296,EXP_FLEX_01_a_spec_156,False,unrecognized_strength_unit,6.297,
17297,EXP_FLEX_01_a_spec_157,False,unrecognized_strength_unit,5.755120966642119,
17298,EXP_FLEX_01_a_spec_158,True,included,3.7452375322631126,N/mm²
17299,EXP_FLEX_01_a_spec_159,True,included,3.77044776119403,N/mm²
17300,EXP_FLEX_01_a_spec_160,True,included,2.8442683442879755,N/mm²
17301,EXP_FLEX_01_a_spec_161,False,unrecognized_strength_unit,2.6250768290269746,
17302,EXP_FLEX_01_a_spec_162,False,unrecognized_strength_unit,2.9619143576826197,
17303,EXP_FLEX_01_a_spec_163,False,unrecognized_strength_unit,3.3790804823056564,
17304,EXP_FLEX_01_a_spec_164,False,unrecognized_strength_unit,2.430013514456662,
17220,EXP_FLEX_01_a_spec_80,True,included,6.677836663772443,N/mm²
17221,EXP_FLEX_01_a_spec_81,True,included,6.150801700115733,N/mm²
17222,EXP_FLEX_01_a_spec_82,True,included,7.329041273199642,N/mm²
17223,EXP_FLEX_01_a_spec_83,True,included,5.893920056675063,N/mm²
17224,EXP_FLEX_01_a_spec_84,True,included,6.447866450125494,N/mm²
17225,EXP_FLEX_01_a_spec_85,True,included,6.878861754428123,N/mm²
17226,EXP_FLEX_01_a_spec_86,True,included,5.794178174933831,N/mm²
17227,EXP_FLEX_01_a_spec_87,True,included,5.704941778294557,N/mm²
17228,EXP_FLEX_01_a_spec_88,True,included,6.094262495813398,N/mm²
17229,EXP_FLEX_01_a_spec_89,False,unrecognized_strength_unit,5.802173471698822,
17230,EXP_FLEX_01_a_spec_90,False,unrecognized_strength_unit,6.262307561233592,
17231,EXP_FLEX_01_a_spec_91,True,included,6.0805191385592074,N/mm²
17232,EXP_FLEX_01_a_spec_92,True,included,4.493008425842738,N/mm²
17233,EXP_FLEX_01_a_spec_93,True,included,4.752208605637817,N/mm²
17234,EXP_FLEX_01_a_spec_94,False,unrecognized_strength_unit,4.949478844359914,
17235,EXP_FLEX_01_a_spec_95,False,unrecognized_strength_unit,4.557196394866763,
17236,EXP_FLEX_01_a_spec_96,True,included,4.214118164636726,N/mm²
17237,EXP_FLEX_01_a_spec_97,True,included,4.517639229193469,N/mm²
17238,EXP_FLEX_01_a_spec_98,True,included,6.048510543156235,N/mm²
17239,EXP_FLEX_01_a_spec_99,False,unrecognized_strength_unit,5.713505648801829,
18761,EXP_FLEX_13_a_spec_1,True,included,10.545643372864596,N/mm²
18762,EXP_FLEX_13_a_spec_2,True,included,9.848399193472403,N/mm²
18763,EXP_FLEX_13_a_spec_3,True,included,10.30078125,N/mm²
18764,EXP_FLEX_13_a_spec_4,True,included,10.955490229332732,N/mm²
18767,EXP_FLEX_13_a_spec_4B1,True,included,11.645449966107176,N/mm²
18768,EXP_FLEX_13_a_spec_4B2,True,included,9.749939366048718,N/mm²
18769,EXP_FLEX_13_a_spec_4B3,True,included,10.20375,N/mm²
18770,EXP_FLEX_13_a_spec_4B4,True,included,10.51875,N/mm²
18771,EXP_FLEX_13_a_spec_4B5,True,included,10.299375,N/mm²
18772,EXP_FLEX_13_a_spec_4B6,True,included,9.399375,N/mm²
18838,EXP_FLEX_13_a_spec_4C1,True,included,9.25448178195431,N/mm²
18839,EXP_FLEX_13_a_spec_4C2,True,included,9.6699,N/mm²
18840,EXP_FLEX_13_a_spec_4C3,True,included,10.531853174495817,N/mm²
18841,EXP_FLEX_13_a_spec_4C4,True,included,8.9415,N/mm²
18842,EXP_FLEX_13_a_spec_4C5,True,included,9.990409191208393,N/mm²
18858,EXP_FLEX_13_a_spec_4CUW1,True,included,6.8028,N/mm²
18859,EXP_FLEX_13_a_spec_4CUW2,True,included,7.0908,N/mm²
18860,EXP_FLEX_13_a_spec_4CUW3,True,included,7.765423080738396,N/mm²
18861,EXP_FLEX_13_a_spec_4CUW4,True,included,8.5095,N/mm²
18862,EXP_FLEX_13_a_spec_4CUW5,True,included,6.129,N/mm²
18808,EXP_FLEX_13_a_spec_4D1UW1,True,included,6.129986620687056,N/mm²
18809,EXP_FLEX_13_a_spec_4D1UW2,True,included,5.799375,N/mm²
18810,EXP_FLEX_13_a_spec_4D1UW3,True,included,5.199375,N/mm²
18811,EXP_FLEX_13_a_spec_4D1UW4,True,included,6.0375,N/mm²
18812,EXP_FLEX_13_a_spec_4D1UW5,True,included,6.800625,N/mm²
18828,EXP_FLEX_13_a_spec_4D2UW1,True,included,4.8,N/mm²
18829,EXP_FLEX_13_a_spec_4D2UW2,True,included,6.699375,N/mm²
18830,EXP_FLEX_13_a_spec_4D2UW3,True,included,5.799375,N/mm²
18831,EXP_FLEX_13_a_spec_4D2UW4,True,included,5.417293233082707,N/mm²
18832,EXP_FLEX_13_a_spec_4D2UW5,True,included,6.585,N/mm²
18788,EXP_FLEX_13_a_spec_4UW1,True,included,6.19875,N/mm²
18789,EXP_FLEX_13_a_spec_4UW2,True,included,7.299375,N/mm²
18790,EXP_FLEX_13_a_spec_4UW3,True,included,8.900625,N/mm²
18791,EXP_FLEX_13_a_spec_4UW4,True,included,7.100625,N/mm²
18792,EXP_FLEX_13_a_spec_4UW5,True,included,7.239904271958092,N/mm²
18765,EXP_FLEX_13_a_spec_5,True,included,10.00078125,N/mm²
18766,EXP_FLEX_13_a_spec_6,True,included,11.59921875,N/mm²
18833,EXP_FLEX_13_a_spec_C1,True,included,9.222736249763276,N/mm²
18834,EXP_FLEX_13_a_spec_C2,True,included,10.499091318272137,N/mm²
18835,EXP_FLEX_13_a_spec_C3,True,included,8.379647889849045,N/mm²
18836,EXP_FLEX_13_a_spec_C4,True,included,9.06165,N/mm²
18837,EXP_FLEX_13_a_spec_C5,True,included,8.724941157373589,N/mm²
18843,EXP_FLEX_13_a_spec_CUW1,True,included,8.708257807356906,N/mm²
18844,EXP_FLEX_13_a_spec_CUW2,True,included,7.08615,N/mm²
18845,EXP_FLEX_13_a_spec_CUW3,True,included,6.90975,N/mm²
18846,EXP_FLEX_13_a_spec_CUW4,True,included,7.2126,N/mm²
18847,EXP_FLEX_13_a_spec_CUW5,True,included,7.39305,N/mm²
18848,EXP_FLEX_13_a_spec_CVU1,True,included,11.1825,N/mm²
18849,EXP_FLEX_13_a_spec_CVU2,True,included,9.78525,N/mm²
18850,EXP_FLEX_13_a_spec_CVU3,True,included,10.28025,N/mm²
18851,EXP_FLEX_13_a_spec_CVU4,True,included,9.2034,N/mm²
18852,EXP_FLEX_13_a_spec_CVU5,True,included,9.4653,N/mm²
18853,EXP_FLEX_13_a_spec_CWU1,True,included,9.77805,N/mm²
18854,EXP_FLEX_13_a_spec_CWU2,True,included,8.6355,N/mm²
18855,EXP_FLEX_13_a_spec_CWU3,True,included,9.11385,N/mm²
18856,EXP_FLEX_13_a_spec_CWU4,True,included,9.068468468468469,N/mm²
18857,EXP_FLEX_13_a_spec_CWU5,True,included,10.18575,N/mm²
18793,EXP_FLEX_13_a_spec_D1UW1,True,included,6.637835189477453,N/mm²
18794,EXP_FLEX_13_a_spec_D1UW2,True,included,6.02109375,N/mm²
18795,EXP_FLEX_13_a_spec_D1UW3,True,included,6.19921875,N/mm²
18796,EXP_FLEX_13_a_spec_D1UW4,True,included,7.30078125,N/mm²
18797,EXP_FLEX_13_a_spec_D1UW5,True,included,6.70078125,N/mm²
18798,EXP_FLEX_13_a_spec_D1VU1,True,included,9.0,N/mm²
18799,EXP_FLEX_13_a_spec_D1VU2,True,included,10.09921875,N/mm²
18800,EXP_FLEX_13_a_spec_D1VU3,True,included,9.67425187032419,N/mm²
18801,EXP_FLEX_13_a_spec_D1VU4,True,included,8.80078125,N/mm²
18802,EXP_FLEX_13_a_spec_D1VU5,True,included,10.60078125,N/mm²
18803,EXP_FLEX_13_a_spec_D1WU1,True,included,10.5046875,N/mm²
18804,EXP_FLEX_13_a_spec_D1WU2,True,included,8.20078125,N/mm²
18805,EXP_FLEX_13_a_spec_D1WU3,True,included,9.3,N/mm²
18806,EXP_FLEX_13_a_spec_D1WU4,True,included,8.29921875,N/mm²
18807,EXP_FLEX_13_a_spec_D1WU5,True,included,10.09921875,N/mm²
18813,EXP_FLEX_13_a_spec_D2UW1,True,included,6.29765625,N/mm²
18814,EXP_FLEX_13_a_spec_D2UW2,True,included,5.59921875,N/mm²
18815,EXP_FLEX_13_a_spec_D2UW3,True,included,7.1953125,N/mm²
18816,EXP_FLEX_13_a_spec_D2UW4,True,included,5.50078125,N/mm²
18817,EXP_FLEX_13_a_spec_D2UW5,True,included,6.531837111575933,N/mm²
18818,EXP_FLEX_13_a_spec_D2VU1,True,included,8.29921875,N/mm²
18819,EXP_FLEX_13_a_spec_D2VU2,True,included,10.30078125,N/mm²
18820,EXP_FLEX_13_a_spec_D2VU3,True,included,10.90078125,N/mm²
18821,EXP_FLEX_13_a_spec_D2VU4,True,included,9.10078125,N/mm²
18822,EXP_FLEX_13_a_spec_D2VU5,True,included,9.6046875,N/mm²
18823,EXP_FLEX_13_a_spec_D2WU1,True,included,8.3953125,N/mm²
18824,EXP_FLEX_13_a_spec_D2WU2,True,included,8.89921875,N/mm²
18825,EXP_FLEX_13_a_spec_D2WU3,True,included,9.49921875,N/mm²
18826,EXP_FLEX_13_a_spec_D2WU4,True,included,7.959372143208064,N/mm²
18827,EXP_FLEX_13_a_spec_D2WU5,True,included,9.19921875,N/mm²
18773,EXP_FLEX_13_a_spec_UW1,True,included,7.79296875,N/mm²
18774,EXP_FLEX_13_a_spec_UW2,True,included,6.19921875,N/mm²
18775,EXP_FLEX_13_a_spec_UW3,True,included,8.09296875,N/mm²
18776,EXP_FLEX_13_a_spec_UW4,True,included,8.84495072267134,N/mm²
18777,EXP_FLEX_13_a_spec_UW5,True,included,7.39921875,N/mm²
18778,EXP_FLEX_13_a_spec_VU1,True,included,11.4,N/mm²
18779,EXP_FLEX_13_a_spec_VU2,True,included,11.7984375,N/mm²
18780,EXP_FLEX_13_a_spec_VU3,True,included,8.29921875,N/mm²
18781,EXP_FLEX_13_a_spec_VU4,True,included,10.149904837281174,N/mm²
18782,EXP_FLEX_13_a_spec_VU5,True,included,10.5984375,N/mm²
18783,EXP_FLEX_13_a_spec_WU1,True,included,10.60078125,N/mm²
18784,EXP_FLEX_13_a_spec_WU2,True,included,9.6,N/mm²
18785,EXP_FLEX_13_a_spec_WU3,True,included,11.29921875,N/mm²
18786,EXP_FLEX_13_a_spec_WU4,True,included,9.0140625,N/mm²
18787,EXP_FLEX_13_a_spec_WU5,True,included,10.5,N/mm²
22121,EXP_FLEX_19_a_spec_1,False,outside_20_to_40_days,6.492381584800338,N/mm²
22129,EXP_FLEX_19_a_spec_10,False,outside_20_to_40_days,7.45318404924611,N/mm²
22169,EXP_FLEX_19_a_spec_100,False,outside_20_to_40_days,9.803780547714387,N/mm²
22170,EXP_FLEX_19_a_spec_101,False,outside_20_to_40_days,9.883888100025374,N/mm²
22171,EXP_FLEX_19_a_spec_102,False,outside_20_to_40_days,7.765985745263186,N/mm²
22208,EXP_FLEX_19_a_spec_103,True,included,18.761949565024917,N/mm²
22209,EXP_FLEX_19_a_spec_104,True,included,22.814787479975948,N/mm²
22210,EXP_FLEX_19_a_spec_105,True,included,19.888769005026333,N/mm²
22211,EXP_FLEX_19_a_spec_106,True,included,20.33996130196758,N/mm²
22212,EXP_FLEX_19_a_spec_107,True,included,22.028891092162894,N/mm²
22213,EXP_FLEX_19_a_spec_108,True,included,19.44662876226888,N/mm²
22130,EXP_FLEX_19_a_spec_11,False,outside_20_to_40_days,5.55089167836948,N/mm²
22131,EXP_FLEX_19_a_spec_13,False,outside_20_to_40_days,9.09754358226236,N/mm²
