record_index,sample_id,sample_code,NAME,TESTORIENTATION,3-OR4-POINTBENDING,PROCESSPARAMETERS,SOURCEPRINTOBJECTNUMBER,AGE,EXTRACTIONMETHOD,EXTRACTIONDATE,TESTDATE,LENGTH_VALUE,LENGTH_UNIT,WIDTH_D1_VALUE,WIDTH_D1_UNIT,HEIGHT_D2_VALUE,HEIGHT_D2_UNIT,SUPPORTSPANL_VALUE,SUPPORTSPANL_UNIT,LOADSPANONLYFOR4PBENDING_VALUE,LOADSPANONLYFOR4PBENDING_UNIT,APPLIEDLOADINGRATE_VALUE,APPLIEDLOADINGRATE_UNIT,F3PXNORF4PXN_VALUE,F3PXNORF4PXN_UNIT,DENSITY_VALUE,DENSITY_UNIT
79,18789,EXP_FLEX18796,EXP_FLEX_13_a_spec_4UW2,U.W,4,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,7.299375,N/mm²,2250.390625,kg/m³
80,18790,EXP_FLEX18797,EXP_FLEX_13_a_spec_4UW3,U.W,4,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,8.900625,N/mm²,2201.171875,kg/m³
81,18791,EXP_FLEX18798,EXP_FLEX_13_a_spec_4UW4,U.W,4,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,120.0,mm,40.0,mm,75.0,N/s,7.100625,N/mm²,2192.1875,kg/m³
82,18792,EXP_FLEX18799,EXP_FLEX_13_a_spec_4UW5,U.W,4,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,39.9,mm,120.0,mm,40.0,mm,75.0,N/s,7.239904271958092,N/mm²,2157.7380952380954,kg/m³
83,18765,EXP_FLEX18772,EXP_FLEX_13_a_spec_5,CAST,3,DEFAULT,cast M,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,10.00078125,N/mm²,2271.484375,kg/m³
84,18766,EXP_FLEX18773,EXP_FLEX_13_a_spec_6,CAST,3,DEFAULT,cast M,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,11.59921875,N/mm²,2267.96875,kg/m³
85,18833,EXP_FLEX18840,EXP_FLEX_13_a_spec_C1,CAST,3,DEFAULT,cast C-F1,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,99.9,mm,300.0,mm,,mm,100.0,N/s,9.222736249763276,N/mm²,2211.711711711712,kg/m³
86,18834,EXP_FLEX18841,EXP_FLEX_13_a_spec_C2,CAST,3,DEFAULT,cast C-F1,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.1,mm,300.0,mm,,mm,100.0,N/s,10.499091318272137,N/mm²,2173.626373626374,kg/m³
87,18835,EXP_FLEX18842,EXP_FLEX_13_a_spec_C3,CAST,3,DEFAULT,cast C-F1,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.2,mm,300.0,mm,,mm,100.0,N/s,8.379647889849045,N/mm²,2176.172654690619,kg/m³
88,18836,EXP_FLEX18843,EXP_FLEX_13_a_spec_C4,CAST,3,DEFAULT,cast C-F1,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,,mm,100.0,N/s,9.06165,N/mm²,2143.45,kg/m³
89,18837,EXP_FLEX18844,EXP_FLEX_13_a_spec_C5,CAST,3,DEFAULT,cast C-F1,30.0,,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,99.9,mm,300.0,mm,,mm,100.0,N/s,8.724941157373589,N/mm²,2190.5155155155153,kg/m³
90,18843,EXP_FLEX18850,EXP_FLEX_13_a_spec_CUW1,U.W,3,DEFAULT,C-F1,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,99.9,mm,300.0,mm,,mm,100.0,N/s,8.708257807356906,N/mm²,2163.4134134134133,kg/m³
91,18844,EXP_FLEX18851,EXP_FLEX_13_a_spec_CUW2,U.W,3,DEFAULT,C-F1,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,,mm,100.0,N/s,7.08615,N/mm²,2150.075,kg/m³
92,18845,EXP_FLEX18852,EXP_FLEX_13_a_spec_CUW3,U.W,3,DEFAULT,C-F1,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,,mm,100.0,N/s,6.90975,N/mm²,2189.2,kg/m³
93,18846,EXP_FLEX18853,EXP_FLEX_13_a_spec_CUW4,U.W,3,DEFAULT,C-F1,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,,mm,100.0,N/s,7.2126,N/mm²,2181.2,kg/m³
94,18847,EXP_FLEX18854,EXP_FLEX_13_a_spec_CUW5,U.W,3,DEFAULT,C-F1,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,,mm,100.0,N/s,7.39305,N/mm²,2184.3,kg/m³
95,18848,EXP_FLEX18855,EXP_FLEX_13_a_spec_CVU1,V.U,3,DEFAULT,C-F2,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,,mm,100.0,N/s,11.1825,N/mm²,2176.525,kg/m³
96,18849,EXP_FLEX18856,EXP_FLEX_13_a_spec_CVU2,V.U,3,DEFAULT,C-F2,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,,mm,100.0,N/s,9.78525,N/mm²,2199.925,kg/m³
97,18850,EXP_FLEX18857,EXP_FLEX_13_a_spec_CVU3,V.U,3,DEFAULT,C-F2,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,,mm,100.0,N/s,10.28025,N/mm²,2209.75,kg/m³
98,18851,EXP_FLEX18858,EXP_FLEX_13_a_spec_CVU4,V.U,3,DEFAULT,C-F2,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,399.9,mm,100.0,mm,100.0,mm,300.0,mm,,mm,100.0,N/s,9.2034,N/mm²,2172.068017004251,kg/m³
99,18852,EXP_FLEX18859,EXP_FLEX_13_a_spec_CVU5,V.U,3,DEFAULT,C-F2,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,,mm,100.0,N/s,9.4653,N/mm²,2171.85,kg/m³
100,18853,EXP_FLEX18860,EXP_FLEX_13_a_spec_CWU1,W.U,3,DEFAULT,C-F2,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,,mm,100.0,N/s,9.77805,N/mm²,2213.2,kg/m³
101,18854,EXP_FLEX18861,EXP_FLEX_13_a_spec_CWU2,W.U,3,DEFAULT,C-F2,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,,mm,100.0,N/s,8.6355,N/mm²,2184.175,kg/m³
102,18855,EXP_FLEX18862,EXP_FLEX_13_a_spec_CWU3,W.U,3,DEFAULT,C-F2,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,,mm,100.0,N/s,9.11385,N/mm²,2188.425,kg/m³
103,18856,EXP_FLEX18863,EXP_FLEX_13_a_spec_CWU4,W.U,3,DEFAULT,C-F2,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,99.9,mm,100.0,mm,300.0,mm,,mm,100.0,N/s,9.068468468468469,N/mm²,2174.2992992992995,kg/m³
104,18857,EXP_FLEX18864,EXP_FLEX_13_a_spec_CWU5,W.U,3,DEFAULT,C-F2,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,400.0,mm,100.0,mm,100.0,mm,300.0,mm,,mm,100.0,N/s,10.18575,N/mm²,2206.35,kg/m³
105,18793,EXP_FLEX18800,EXP_FLEX_13_a_spec_D1UW1,U.W,3,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,39.9,mm,100.0,mm,,mm,50.0,N/s,6.637835189477453,N/mm²,2212.9542606516293,kg/m³
106,18794,EXP_FLEX18801,EXP_FLEX_13_a_spec_D1UW2,U.W,3,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,6.02109375,N/mm²,2216.40625,kg/m³
107,18795,EXP_FLEX18802,EXP_FLEX_13_a_spec_D1UW3,U.W,3,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,6.19921875,N/mm²,2171.484375,kg/m³
108,18796,EXP_FLEX18803,EXP_FLEX_13_a_spec_D1UW4,U.W,3,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,7.30078125,N/mm²,2198.828125,kg/m³
109,18797,EXP_FLEX18804,EXP_FLEX_13_a_spec_D1UW5,U.W,3,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,6.70078125,N/mm²,2239.84375,kg/m³
110,18798,EXP_FLEX18805,EXP_FLEX_13_a_spec_D1VU1,V.U,3,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,9.0,N/mm²,2217.578125,kg/m³
111,18799,EXP_FLEX18806,EXP_FLEX_13_a_spec_D1VU2,V.U,3,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,10.09921875,N/mm²,2194.53125,kg/m³
112,18800,EXP_FLEX18807,EXP_FLEX_13_a_spec_D1VU3,V.U,3,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.1,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,9.67425187032419,N/mm²,2240.8821695760603,kg/m³
113,18801,EXP_FLEX18808,EXP_FLEX_13_a_spec_D1VU4,V.U,3,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,8.80078125,N/mm²,2206.640625,kg/m³
114,18802,EXP_FLEX18809,EXP_FLEX_13_a_spec_D1VU5,V.U,3,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,10.60078125,N/mm²,2182.421875,kg/m³
115,18803,EXP_FLEX18810,EXP_FLEX_13_a_spec_D1WU1,W.U,3,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,10.5046875,N/mm²,2237.109375,kg/m³
116,18804,EXP_FLEX18811,EXP_FLEX_13_a_spec_D1WU2,W.U,3,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,8.20078125,N/mm²,2183.59375,kg/m³
117,18805,EXP_FLEX18812,EXP_FLEX_13_a_spec_D1WU3,W.U,3,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,9.3,N/mm²,2163.671875,kg/m³
118,18806,EXP_FLEX18813,EXP_FLEX_13_a_spec_D1WU4,W.U,3,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,8.29921875,N/mm²,2231.640625,kg/m³
119,18807,EXP_FLEX18814,EXP_FLEX_13_a_spec_D1WU5,W.U,3,DEV1,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,10.09921875,N/mm²,2202.734375,kg/m³
120,18813,EXP_FLEX18820,EXP_FLEX_13_a_spec_D2UW1,U.W,3,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,6.29765625,N/mm²,2050.0,kg/m³
121,18814,EXP_FLEX18821,EXP_FLEX_13_a_spec_D2UW2,U.W,3,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,5.59921875,N/mm²,2094.921875,kg/m³
122,18815,EXP_FLEX18822,EXP_FLEX_13_a_spec_D2UW3,U.W,3,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,7.1953125,N/mm²,2079.296875,kg/m³
123,18816,EXP_FLEX18823,EXP_FLEX_13_a_spec_D2UW4,U.W,3,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,5.50078125,N/mm²,2121.875,kg/m³
124,18817,EXP_FLEX18824,EXP_FLEX_13_a_spec_D2UW5,U.W,3,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,39.9,mm,100.0,mm,,mm,50.0,N/s,6.531837111575933,N/mm²,2115.0532581453635,kg/m³
125,18818,EXP_FLEX18825,EXP_FLEX_13_a_spec_D2VU1,V.U,3,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,8.29921875,N/mm²,2134.765625,kg/m³
126,18819,EXP_FLEX18826,EXP_FLEX_13_a_spec_D2VU2,V.U,3,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,10.30078125,N/mm²,2056.25,kg/m³
127,18820,EXP_FLEX18827,EXP_FLEX_13_a_spec_D2VU3,V.U,3,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,10.90078125,N/mm²,2131.25,kg/m³
128,18821,EXP_FLEX18828,EXP_FLEX_13_a_spec_D2VU4,V.U,3,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,9.10078125,N/mm²,2078.125,kg/m³
129,18822,EXP_FLEX18829,EXP_FLEX_13_a_spec_D2VU5,V.U,3,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,9.6046875,N/mm²,2050.390625,kg/m³
130,18823,EXP_FLEX18830,EXP_FLEX_13_a_spec_D2WU1,W.U,3,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,8.3953125,N/mm²,2072.265625,kg/m³
131,18824,EXP_FLEX18831,EXP_FLEX_13_a_spec_D2WU2,W.U,3,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,8.89921875,N/mm²,2113.28125,kg/m³
132,18825,EXP_FLEX18832,EXP_FLEX_13_a_spec_D2WU3,W.U,3,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,9.49921875,N/mm²,2089.0625,kg/m³
133,18826,EXP_FLEX18833,EXP_FLEX_13_a_spec_D2WU4,W.U,3,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.1,mm,100.0,mm,,mm,50.0,N/s,7.959372143208064,N/mm²,2060.8634663341645,kg/m³
134,18827,EXP_FLEX18834,EXP_FLEX_13_a_spec_D2WU5,W.U,3,DEV2,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,9.19921875,N/mm²,2102.734375,kg/m³
135,18773,EXP_FLEX18780,EXP_FLEX_13_a_spec_UW1,U.W,3,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,7.79296875,N/mm²,2218.359375,kg/m³
136,18774,EXP_FLEX18781,EXP_FLEX_13_a_spec_UW2,U.W,3,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,6.19921875,N/mm²,2224.21875,kg/m³
137,18775,EXP_FLEX18782,EXP_FLEX_13_a_spec_UW3,U.W,3,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,159.9,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,8.09296875,N/mm²,2172.8424015009377,kg/m³
138,18776,EXP_FLEX18783,EXP_FLEX_13_a_spec_UW4,U.W,3,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,39.9,mm,100.0,mm,,mm,50.0,N/s,8.84495072267134,N/mm²,2190.632832080201,kg/m³
139,18777,EXP_FLEX18784,EXP_FLEX_13_a_spec_UW5,U.W,3,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,7.39921875,N/mm²,2203.125,kg/m³
140,18778,EXP_FLEX18785,EXP_FLEX_13_a_spec_VU1,V.U,3,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,11.4,N/mm²,2165.234375,kg/m³
141,18779,EXP_FLEX18786,EXP_FLEX_13_a_spec_VU2,V.U,3,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,11.7984375,N/mm²,2243.75,kg/m³
142,18780,EXP_FLEX18787,EXP_FLEX_13_a_spec_VU3,V.U,3,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,8.29921875,N/mm²,2155.859375,kg/m³
143,18781,EXP_FLEX18788,EXP_FLEX_13_a_spec_VU4,V.U,3,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,39.9,mm,100.0,mm,,mm,50.0,N/s,10.149904837281174,N/mm²,2182.8007518796994,kg/m³
144,18782,EXP_FLEX18789,EXP_FLEX_13_a_spec_VU5,V.U,3,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,10.5984375,N/mm²,2178.515625,kg/m³
145,18783,EXP_FLEX18790,EXP_FLEX_13_a_spec_WU1,W.U,3,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,10.60078125,N/mm²,2196.875,kg/m³
146,18784,EXP_FLEX18791,EXP_FLEX_13_a_spec_WU2,W.U,3,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,9.6,N/mm²,2235.9375,kg/m³
147,18785,EXP_FLEX18792,EXP_FLEX_13_a_spec_WU3,W.U,3,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,11.29921875,N/mm²,2248.828125,kg/m³
148,18786,EXP_FLEX18793,EXP_FLEX_13_a_spec_WU4,W.U,3,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,159.9,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,9.0140625,N/mm²,2243.198874296435,kg/m³
149,18787,EXP_FLEX18794,EXP_FLEX_13_a_spec_WU5,W.U,3,DEFAULT,M,30.0,sawing,2023-02-12 00:00:00 +0000,2023-02-17 00:00:00 +0000,160.0,mm,40.0,mm,40.0,mm,100.0,mm,,mm,50.0,N/s,10.5,N/mm²,2175.390625,kg/m³
150,22208,EXP_FLEX22215,EXP_FLEX_19_a_spec_103,CAST,3,DEFAULT,cast FLEX1,29.0,cast,2023-02-09 00:00:00 +0000,2023-03-09 00:00:00 +0000,162.82,mm,40.4,mm,40.23,mm,120.0,mm,,mm,50.0,N/s,18.761949565024917,N/mm²,2246.3813717915327,kg/m³
151,22209,EXP_FLEX22216,EXP_FLEX_19_a_spec_104,CAST,3,DEFAULT,cast FLEX1,29.0,cast,2023-02-09 00:00:00 +0000,2023-03-09 00:00:00 +0000,162.59,mm,40.78,mm,40.44,mm,120.0,mm,,mm,50.0,N/s,22.814787479975948,N/mm²,2238.319527754865,kg/m³
152,22210,EXP_FLEX22217,EXP_FLEX_19_a_spec_105,CAST,3,DEFAULT,cast FLEX1,29.0,cast,2023-02-09 00:00:00 +0000,2023-03-09 00:00:00 +0000,162.41,mm,40.41,mm,40.29,mm,120.0,mm,,mm,50.0,N/s,19.888769005026333,N/mm²,2272.5726430477403,kg/m³
153,22211,EXP_FLEX22218,EXP_FLEX_19_a_spec_106,CAST,3,DEFAULT,cast FLEX1,29.0,cast,2023-02-09 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.0,mm,40.47,mm,40.22,mm,120.0,mm,,mm,50.0,N/s,20.33996130196758,N/mm²,2206.2102349980455,kg/m³
154,22212,EXP_FLEX22219,EXP_FLEX_19_a_spec_107,CAST,3,DEFAULT,cast FLEX1,29.0,cast,2023-02-09 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.03,mm,40.43,mm,40.27,mm,120.0,mm,,mm,50.0,N/s,22.028891092162894,N/mm²,2213.9746895500857,kg/m³
155,22213,EXP_FLEX22220,EXP_FLEX_19_a_spec_108,CAST,3,DEFAULT,cast FLEX1,29.0,cast,2023-02-09 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.71,mm,40.52,mm,40.31,mm,120.0,mm,,mm,50.0,N/s,19.44662876226888,N/mm²,2184.4476804003184,kg/m³
156,22172,EXP_FLEX22179,EXP_FLEX_19_a_spec_43,U.W,3,DEFAULT,FLEX1,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.71,mm,40.65,mm,40.71,mm,120.0,mm,,mm,50.0,N/s,8.980520759309496,N/mm²,2217.051691097139,kg/m³
157,22173,EXP_FLEX22180,EXP_FLEX_19_a_spec_44,U.W,3,DEFAULT,FLEX1,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.52,mm,39.99,mm,39.97,mm,120.0,mm,,mm,50.0,N/s,10.90831995991387,N/mm²,2037.3499322679372,kg/m³
158,22174,EXP_FLEX22181,EXP_FLEX_19_a_spec_45,U.W,3,DEFAULT,FLEX1,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.94,mm,40.76,mm,40.81,mm,120.0,mm,,mm,50.0,N/s,8.912817209646168,N/mm²,2124.275422719683,kg/m³
159,22175,EXP_FLEX22182,EXP_FLEX_19_a_spec_46,U.W,3,DEFAULT,FLEX1,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.81,mm,39.97,mm,40.71,mm,120.0,mm,,mm,50.0,N/s,8.559466684130008,N/mm²,2102.484557886015,kg/m³
160,22176,EXP_FLEX22183,EXP_FLEX_19_a_spec_47,U.W,3,DEFAULT,FLEX1,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,160.66,mm,38.72,mm,40.43,mm,120.0,mm,,mm,50.0,N/s,9.047846422963937,N/mm²,2055.4650093071577,kg/m³
161,22177,EXP_FLEX22184,EXP_FLEX_19_a_spec_48,U.W,3,DEFAULT,FLEX1,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.02,mm,39.24,mm,41.24,mm,120.0,mm,,mm,50.0,N/s,10.756665846069298,N/mm²,2046.9211199282222,kg/m³
162,22178,EXP_FLEX22185,EXP_FLEX_19_a_spec_49,U.W,3,DEV2,FLEX1,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.72,mm,41.94,mm,41.22,mm,120.0,mm,,mm,50.0,N/s,4.003661673692869,N/mm²,2001.1362420893277,kg/m³
163,22179,EXP_FLEX22186,EXP_FLEX_19_a_spec_50,U.W,3,DEV2,FLEX1,29.0,sawing,2023-03-02 00:00:00 +0000,2023-03-09 00:00:00 +0000,161.19,mm,41.84,mm,42.76,mm,120.0,mm,,mm,50.0,N/s,5.266096392290168,N/mm²,1995.1345895562456,kg/m³
